url_length,https,subdomain_count,has_ip,hyphen_count,digit_ratio,path_length,has_at_symbol,brand_keyword_count,label
66,1,2,0,0,0.118,24,0,0,0
65,1,3,0,0,0.0,23,0,0,0
95,1,3,0,0,0.0,46,0,0,0
29,1,3,0,0,0.0,1,0,0,0
70,1,3,0,0,0.0,41,0,0,0
79,1,2,0,0,0.0,56,0,0,0
54,1,2,0,0,0.0,30,0,0,0
64,1,2,0,0,0.0,36,0,0,0
80,1,2,0,0,0.0,43,0,0,0
39,1,3,0,0,0.0,1,0,0,0
64,1,2,0,0,0.0,44,0,0,0
44,1,2,0,0,0.0,21,0,0,0
44,1,2,0,0,0.0,20,0,0,0
159,1,2,0,0,0.0,135,0,0,0
